AAAA;NOM_USUEL;TMM;TXAB;TXMIN;NBJTX25;RR;RRAB;TMM_ma5;ville
1977;LYON-BRON;4.4;29.9;-1.3;30.0;1170.3999999999999;60.2;;lyon
1978;LYON-BRON;6.1;33.8;-2.5;45.0;681.0;51.4;;lyon
1979;LYON-BRON;2.6;35.8;-4.9;67.0;913.5;59.7;;lyon
1980;LYON-BRON;1.5;34.1;-5.4;48.0;862.0;57.0;3.5;lyon
1981;LYON-BRON;11.2;33.9;-1.5;47.0;915.5;71.2;5.2;lyon
1982;LYON-BRON;12.4;36.3;-0.4;84.0;901.9;73.7;6.8;lyon
1983;LYON-BRON;12.1;39.8;-1.2;86.0;893.6;41.4;8.0;lyon
1984;LYON-BRON;11.5;35.5;1.3;53.0;772.1;41.1;9.7;lyon
1985;LYON-BRON;10.9;34.3;-10.4;78.0;680.5;47.2;11.6;lyon
1986;LYON-BRON;11.0;35.4;-7.6;68.0;783.3;35.3;11.6;lyon
1987;LYON-BRON;11.0;34.2;-10.7;53.0;886.5;38.4;11.3;lyon
1988;LYON-BRON;12.2;33.8;-0.4;60.0;921.6;70.7;11.3;lyon
1989;LYON-BRON;12.5;36.2;-3.0;87.0;623.2;75.5;11.5;lyon
1990;LYON-BRON;12.3;35.7;-1.0;73.0;865.8000000000001;63.6;11.8;lyon
1991;LYON-BRON;13.6;35.2;-2.9;89.0;690.7;65.6;12.3;lyon
1992;LYON-BRON;13.0;35.5;-2.2;67.0;986.3000000000001;48.0;12.7;lyon
1993;LYON-BRON;11.4;34.0;-4.0;55.0;1099.0;79.2;12.6;lyon
1994;LYON-BRON;13.0;35.6;0.3;74.0;891.9;53.0;12.7;lyon
1995;LYON-BRON;12.4;36.2;-1.5;69.0;923.0;47.2;12.7;lyon
1996;LYON-BRON;12.0;32.0;-4.6;58.0;888.9;70.8;12.4;lyon
1997;LYON-BRON;12.3;34.6;-4.0;89.0;703.3;63.4;12.2;lyon
1998;LYON-BRON;14.1;37.7;-1.1;75.0;757.6;41.6;12.8;lyon
1999;LYON-BRON;13.1;34.5;-1.2;90.0;963.1999999999999;72.4;12.8;lyon
2000;LYON-BRON;13.2;35.8;-1.7;86.0;828.2;56.4;12.9;lyon
2001;LYON-BRON;13.4;35.6;-3.0;76.0;825.8000000000001;35.0;13.2;lyon
2002;LYON-BRON;13.5;34.2;-1.9;66.0;980.6;52.8;13.5;lyon
2003;LYON-BRON;14.7;40.5;-5.3;113.0;663.0;62.8;13.6;lyon
2004;LYON-BRON;12.5;35.6;0.1;79.0;751.4;44.8;13.5;lyon
2005;LYON-BRON;12.0;36.9;-2.1;85.0;649.6;55.0;13.2;lyon
2006;LYON-BRON;13.2;37.4;-2.8;92.0;729.6;47.4;13.2;lyon
2007;LYON-BRON;12.8;32.8;-3.0;77.0;842.0;68.2;13.0;lyon
2008;LYON-BRON;12.4;33.0;0.1;66.0;1003.4;46.0;12.6;lyon
2009;LYON-BRON;13.2;39.2;-3.7;90.0;725.1999999999999;64.8;12.7;lyon
2010;LYON-BRON;12.0;36.3;-3.2;78.0;801.4;104.1;12.7;lyon
2011;LYON-BRON;13.5;37.9;-0.8;95.0;742.1;36.8;12.8;lyon
2012;LYON-BRON;12.8;38.0;-4.4;84.0;914.5;70.3;12.8;lyon
2013;LYON-BRON;12.1;35.9;-2.1;77.0;968.1;52.5;12.7;lyon
2014;LYON-BRON;13.7;35.2;1.6;75.0;1019.9;79.1;12.8;lyon
2015;LYON-BRON;13.7;39.2;0.5;89.0;697.6;45.4;13.2;lyon
2016;LYON-BRON;12.9;34.9;0.8;86.0;791.6;44.5;13.0;lyon
2017;LYON-BRON;13.4;37.9;-2.7;101.0;549.4;30.9;13.2;lyon
2018;LYON-BRON;14.2;37.0;-1.6;125.0;807.7;45.8;13.6;lyon
2019;LYON-BRON;13.8;40.4;2.1;98.0;772.1;48.0;13.6;lyon
2020;LYON-BRON;14.3;39.9;0.9;110.0;658.5;48.6;13.7;lyon
2021;LYON-BRON;12.8;35.4;-0.8;86.0;963.1999999999999;105.9;13.7;lyon
2022;LYON-BRON;14.4;38.9;-1.7;115.0;620.1999999999999;39.4;13.9;lyon
2023;LYON-BRON;14.3;41.4;1.6;123.0;717.8000000000001;54.3;13.9;lyon
2024;LYON-BRON;13.7;38.1;-1.7;83.0;989.3;74.1;13.9;lyon
2025;LYON-BRON;13.7;39.6;0.0;96.0;733.1;44.3;13.8;lyon
1921;MARIGNANE;;38.5;6.1;146.0;190.8;26.3;;marseille
1922;MARIGNANE;;39.2;5.3;118.0;365.5;31.4;;marseille
1923;MARIGNANE;;38.9;4.0;108.0;577.3;95.1;;marseille
1924;MARIGNANE;;35.0;3.8;111.0;628.5;53.6;;marseille
1925;MARIGNANE;;34.2;3.0;108.0;485.8;65.1;;marseille
1926;MARIGNANE;;35.9;0.6;125.0;588.6;41.2;;marseille
1927;MARIGNANE;;34.1;0.7;113.0;610.3;49.5;;marseille
1928;MARIGNANE;;35.9;6.0;106.0;659.1999999999999;81.8;;marseille
1929;MARIGNANE;;33.9;-5.9;115.0;366.5;30.9;;marseille
1930;MARIGNANE;;34.2;5.5;106.0;596.1;39.8;;marseille
1931;MARIGNANE;;35.8;2.2;95.0;476.5;40.5;;marseille
1932;MARIGNANE;;36.4;-0.3;96.0;884.0;212.3;;marseille
1933;MARIGNANE;;37.2;-1.7;101.0;599.1;70.0;;marseille
1934;MARIGNANE;;32.2;3.7;115.0;658.1;55.1;;marseille
1935;MARIGNANE;;37.4;1.4;96.0;636.1999999999999;68.6;;marseille
1936;MARIGNANE;;34.0;5.1;99.0;509.5;37.8;;marseille
1937;MARIGNANE;;34.4;2.8;112.0;141.6;57.2;;marseille
1938;MARIGNANE;;35.1;0.5;75.0;568.1;66.8;;marseille
1939;MARIGNANE;;31.6;2.8;83.0;367.1;42.8;;marseille
1940;MARIGNANE;;30.2;-3.0;79.0;436.4;61.0;;marseille
1941;MARIGNANE;;35.6;-4.0;80.0;772.1;74.9;;marseille
1942;MARIGNANE;;32.4;-1.0;117.0;507.4;55.3;;marseille
1943;MARIGNANE;;33.8;6.1;36.0;94.3;15.2;;marseille
1945;MARIGNANE;;29.4;-2.0;19.0;234.3;58.7;;marseille
1946;MARIGNANE;;33.2;1.5;99.0;391.8;24.8;;marseille
1947;MARIGNANE;;39.0;-1.2;122.0;570.5;56.5;;marseille
1948;MARIGNANE;;32.0;2.6;83.0;656.2;79.5;;marseille
1949;MARIGNANE;14.6;34.4;4.6;120.0;505.3;44.3;;marseille
1950;MARIGNANE;14.5;39.0;3.0;109.0;355.4;34.4;;marseille
1951;MARIGNANE;14.4;33.0;6.8;100.0;802.5;43.7;;marseille
1952;MARIGNANE;14.5;37.0;2.9;105.0;387.0;33.1;;marseille
1953;MARIGNANE;14.2;33.0;2.8;102.0;478.59999999999997;54.7;14.4;marseille
1954;MARIGNANE;13.7;33.0;-2.2;83.0;490.1;45.2;14.3;marseille
1955;MARIGNANE;14.6;33.4;4.8;90.0;442.3;31.2;14.3;marseille
1956;MARIGNANE;13.2;33.9;-9.2;90.0;573.8;58.0;14.0;marseille
1957;MARIGNANE;14.2;34.8;3.6;81.0;514.8;38.0;14.0;marseille
1958;MARIGNANE;14.5;34.3;3.3;110.0;403.7;37.7;14.0;marseille
1959;MARIGNANE;14.9;34.9;3.1;97.0;707.0;85.8;14.3;marseille
1960;MARIGNANE;14.4;32.2;-2.9;99.0;705.8000000000001;80.6;14.2;marseille
1961;MARIGNANE;15.3;32.9;5.4;106.0;575.6;52.4;14.7;marseille
1962;MARIGNANE;14.6;33.4;-2.8;102.0;447.0;35.2;14.7;marseille
1963;MARIGNANE;12.2;33.2;-3.2;74.0;681.7;96.0;14.3;marseille
1964;MARIGNANE;18.3;34.4;1.0;112.0;489.2;34.3;15.0;marseille
1965;MARIGNANE;15.1;34.4;4.7;85.0;471.0;40.0;15.1;marseille
1966;MARIGNANE;;34.6;0.6;98.0;547.8;45.4;;marseille
1967;MARIGNANE;20.5;33.0;0.6;100.0;221.7;24.1;;marseille
1968;MARIGNANE;7.3;35.3;3.3;88.0;645.3;64.0;;marseille
1969;MARIGNANE;12.0;35.0;1.3;78.0;624.0;52.8;;marseille
1970;MARIGNANE;22.2;34.4;3.6;108.0;498.2;67.5;;marseille
1971;MARIGNANE;13.0;35.8;-0.8;103.0;562.5;53.4;15.0;marseille
1972;MARIGNANE;12.7;33.6;6.0;70.0;901.5;104.7;13.4;marseille
1973;MARIGNANE;;34.8;0.2;111.0;730.2;161.3;;marseille
1974;MARIGNANE;14.8;33.9;6.2;96.0;630.4;65.7;;marseille
1975;MARIGNANE;18.6;35.0;5.2;96.0;535.3;47.5;;marseille
1976;MARIGNANE;;34.1;5.0;95.0;836.2;102.2;;marseille
1977;MARIGNANE;20.6;31.9;4.6;80.0;646.9;51.0;;marseille
1978;MARIGNANE;9.0;33.8;3.0;93.0;551.5;57.8;;marseille
1979;MARIGNANE;16.8;36.0;0.1;114.0;615.5;56.0;;marseille
1980;MARIGNANE;14.1;34.9;2.0;94.0;348.0;41.6;;marseille
1981;MARIGNANE;14.6;38.6;3.2;102.0;444.1;35.2;15.0;marseille
1982;MARIGNANE;15.4;37.4;5.7;120.0;371.5;42.5;14.0;marseille
1983;MARIGNANE;14.6;39.7;4.5;104.0;524.7;62.0;15.1;marseille
1984;MARIGNANE;13.8;34.5;4.0;84.0;588.1;85.6;14.5;marseille
1985;MARIGNANE;14.0;34.9;-5.1;107.0;476.7;39.8;14.5;marseille
1986;MARIGNANE;14.4;33.5;-4.1;115.0;562.5;44.6;14.4;marseille
1987;MARIGNANE;14.1;35.9;-1.0;98.0;636.6;51.6;14.2;marseille
1988;MARIGNANE;14.5;33.9;4.3;95.0;412.5;63.0;14.2;marseille
1989;MARIGNANE;15.6;34.6;8.5;115.0;261.0;42.0;14.5;marseille
1990;MARIGNANE;15.1;33.3;3.1;115.0;499.2;25.2;14.7;marseille
1991;MARIGNANE;14.7;35.4;3.1;103.0;431.3;49.2;14.8;marseille
1992;MARIGNANE;15.0;37.0;7.3;104.0;369.8;37.0;15.0;marseille
1993;MARIGNANE;15.0;35.5;2.8;107.0;538.4;115.0;15.1;marseille
1994;MARIGNANE;15.9;36.3;6.6;106.0;690.4;80.0;15.1;marseille
1995;MARIGNANE;15.3;34.3;2.6;89.0;616.8;43.2;15.2;marseille
1996;MARIGNANE;15.0;33.6;3.0;89.0;701.6;48.0;15.2;marseille
1997;MARIGNANE;15.9;32.9;6.7;126.0;388.8;40.2;15.4;marseille
1998;MARIGNANE;15.0;35.5;4.9;111.0;520.8;146.0;15.4;marseille
1999;MARIGNANE;15.4;34.9;2.3;123.0;616.2;68.6;15.3;marseille
2000;MARIGNANE;15.8;37.7;7.5;120.0;629.4;62.0;15.4;marseille
2001;MARIGNANE;15.5;36.5;1.4;109.0;351.0;42.0;15.5;marseille
2002;MARIGNANE;15.7;34.7;8.4;102.0;813.6;54.2;15.5;marseille
2003;MARIGNANE;16.0;37.7;-0.2;130.0;534.2;68.2;15.7;marseille
2004;MARIGNANE;15.2;33.8;5.1;126.0;312.9;29.3;15.6;marseille
2005;MARIGNANE;15.8;35.4;1.9;114.0;479.9;55.8;15.6;marseille
2006;MARIGNANE;16.2;37.3;5.8;137.0;315.6;49.0;15.8;marseille
2007;MARIGNANE;15.6;38.4;3.5;137.0;308.5;50.0;15.8;marseille
2008;MARIGNANE;15.5;36.3;5.2;100.0;642.6;47.2;15.7;marseille
2009;MARIGNANE;15.9;36.1;0.0;136.0;818.4000000000001;104.2;15.8;marseille
2010;MARIGNANE;14.7;34.7;0.1;116.0;609.9;37.2;15.6;marseille
2011;MARIGNANE;16.0;34.9;6.3;135.0;510.6;56.6;15.5;marseille
2012;MARIGNANE;15.6;35.8;-1.0;130.0;440.9;63.3;15.5;marseille
2013;MARIGNANE;15.0;36.3;2.1;115.0;540.9;37.9;15.4;marseille
2014;MARIGNANE;16.6;35.2;6.1;138.0;689.5;48.7;15.6;marseille
2015;MARIGNANE;16.1;36.0;2.6;125.0;529.0;41.6;15.9;marseille
2016;MARIGNANE;16.1;35.1;7.8;123.0;332.8;27.6;15.9;marseille
2017;MARIGNANE;16.0;39.2;4.7;128.0;304.8;41.9;16.0;marseille
2018;MARIGNANE;16.6;37.9;4.3;140.0;825.0;71.8;16.3;marseille
2019;MARIGNANE;16.2;39.6;6.8;123.0;644.9;71.9;16.2;marseille
2020;MARIGNANE;16.3;37.9;6.6;121.0;454.4;86.1;16.2;marseille
2021;MARIGNANE;15.7;37.9;3.1;125.0;539.2;40.3;16.2;marseille
2022;MARIGNANE;17.3;39.1;6.4;160.0;353.4;42.9;16.4;marseille
2023;MARIGNANE;16.6;37.7;6.3;145.0;287.2;41.6;16.4;marseille
2024;MARIGNANE;16.5;37.0;5.6;116.0;556.2;55.8;16.5;marseille
2025;MARIGNANE;16.8;38.9;5.9;127.0;710.2;110.0;16.6;marseille
